branch,host,compiler,c_version,mpi,m_version,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,hash,modified
develop,cheyenne,intel,18.0.5,intelmpi,2018.4.274,O,Linux,Pass,13679,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/cheyenne/develop/cheyenne/intel/18.0.5/O/intelmpi/2018.4.274),02/18/2022_12:29:44
develop,cheyenne,intel,18.0.5,intelmpi,2018.4.274,g,Linux,Pass,13679,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/cheyenne/develop/cheyenne/intel/18.0.5/g/intelmpi/2018.4.274),02/18/2022_12:29:44
develop,cheyenne,intel,18.0.5,mpiuni,none,O,Linux,Pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/cheyenne/develop/cheyenne/intel/18.0.5/O/mpiuni/none),02/18/2022_12:29:44
develop,cheyenne,intel,18.0.5,mpiuni,none,g,Linux,Pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/cheyenne/develop/cheyenne/intel/18.0.5/g/mpiuni/none),02/18/2022_12:29:44
develop,cheyenne,intel,18.0.5,mpt,2.19,O,Linux,Pass,13679,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/cheyenne/develop/cheyenne/intel/18.0.5/O/mpt/2.19),02/18/2022_12:29:44
develop,cheyenne,intel,18.0.5,mpt,2.19,g,Linux,Pass,13679,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/cheyenne/develop/cheyenne/intel/18.0.5/g/mpt/2.19),02/18/2022_12:29:44
develop,cheyenne,intel,18.0.5,openmpi,3.1.4,O,Linux,Pass,13679,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/cheyenne/develop/cheyenne/intel/18.0.5/O/openmpi/3.1.4),02/18/2022_12:29:44
develop,cheyenne,intel,18.0.5,openmpi,3.1.4,g,Linux,Pass,13679,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/cheyenne/develop/cheyenne/intel/18.0.5/g/openmpi/3.1.4),02/18/2022_12:29:44
develop,chianti,gfortran,9.3.0,openmpi,4.0.5-gcc-9.3.0,O,Linux,Pass,13679,0,49,0,80,0,44,6,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/chianti/develop/chianti/gfortran/9.3.0/O/openmpi/4.0.5-gcc-9.3.0),02/18/2022_12:29:57
develop,chianti,gfortran,9.3.0,openmpi,4.0.5-gcc-9.3.0,g,Linux,Pass,13679,0,49,0,80,0,44,6,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/chianti/develop/chianti/gfortran/9.3.0/g/openmpi/4.0.5-gcc-9.3.0),02/18/2022_12:29:57
develop,chianti,intel,2021.2,intelmpi,2021.2.0-gcc-9.3.0,O,Linux,Pass,13679,0,49,0,80,0,44,6,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/chianti/develop/chianti/intel/2021.2/O/intelmpi/2021.2.0-gcc-9.3.0),02/18/2022_12:29:57
develop,chianti,intel,2021.2,intelmpi,2021.2.0-gcc-9.3.0,g,Linux,Pass,13679,0,49,0,80,0,44,6,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/chianti/develop/chianti/intel/2021.2/g/intelmpi/2021.2.0-gcc-9.3.0),02/18/2022_12:29:57
develop,discover,gfortran,10.1.0,intelmpi,19.1.3.304,O,Linux,Pass,13664,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/discover/develop/discover/gfortran/10.1.0/O/intelmpi/19.1.3.304),02/18/2022_12:30:20
develop,discover,gfortran,10.1.0,intelmpi,19.1.3.304,g,Linux,Pass,13664,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/discover/develop/discover/gfortran/10.1.0/g/intelmpi/19.1.3.304),02/18/2022_12:30:20
develop,discover,gfortran,8.3.0,intelmpi,19.1.3.304,O,Linux,Pass,13664,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/discover/develop/discover/gfortran/8.3.0/O/intelmpi/19.1.3.304),02/18/2022_12:30:20
develop,discover,gfortran,8.3.0,intelmpi,19.1.3.304,g,Linux,Pass,13664,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/discover/develop/discover/gfortran/8.3.0/g/intelmpi/19.1.3.304),02/18/2022_12:30:20
develop,discover,gfortran,8.3.0,mpiuni,none,O,Linux,Pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/discover/develop/discover/gfortran/8.3.0/O/mpiuni/none),02/18/2022_12:30:20
develop,discover,gfortran,8.3.0,mpiuni,none,g,Linux,Pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/discover/develop/discover/gfortran/8.3.0/g/mpiuni/none),02/18/2022_12:30:20
develop,discover,gfortran,8.3.0,mpt,2.17,O,Linux,Pass,13679,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/discover/develop/discover/gfortran/8.3.0/O/mpt/2.17),02/18/2022_12:30:20
